bet_type,data_status,payout_per_100_yen,payout_popularity,race_date,race_id,source_url,winning_selection
ワイド,QUARANTINED_HTML:track_condition,4490,40,2026-08-29,pw01sde1001202602030520260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030520260829%2FF0,1-12
ワイド,QUARANTINED_HTML:track_condition,5590,48,2026-08-29,pw01sde1001202602030520260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030520260829%2FF0,5-12
馬連,QUARANTINED_HTML:track_condition,4250,13,2026-08-29,pw01sde1001202602030520260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030520260829%2FF0,1-5
馬単,QUARANTINED_HTML:track_condition,7430,25,2026-08-29,pw01sde1001202602030520260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030520260829%2FF0,1-5
3連複,QUARANTINED_HTML:track_condition,43510,113,2026-08-29,pw01sde1001202602030520260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030520260829%2FF0,1-5-12
3連単,QUARANTINED_HTML:track_condition,206870,498,2026-08-29,pw01sde1001202602030520260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030520260829%2FF0,1-5-12
単勝,PASS_HTML,300,1,2026-08-29,pw01sde1001202602030620260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030620260829%2FA5,11
複勝,PASS_HTML,160,1,2026-08-29,pw01sde1001202602030620260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030620260829%2FA5,11
複勝,PASS_HTML,200,3,2026-08-29,pw01sde1001202602030620260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030620260829%2FA5,7
複勝,PASS_HTML,560,9,2026-08-29,pw01sde1001202602030620260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030620260829%2FA5,1
枠連,PASS_HTML,450,1,2026-08-29,pw01sde1001202602030620260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030620260829%2FA5,5-7
ワイド,PASS_HTML,600,2,2026-08-29,pw01sde1001202602030620260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030620260829%2FA5,7-11
ワイド,PASS_HTML,2120,31,2026-08-29,pw01sde1001202602030620260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030620260829%2FA5,1-11
ワイド,PASS_HTML,1730,26,2026-08-29,pw01sde1001202602030620260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030620260829%2FA5,1-7
馬連,PASS_HTML,1480,3,2026-08-29,pw01sde1001202602030620260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030620260829%2FA5,7-11
馬単,PASS_HTML,2180,3,2026-08-29,pw01sde1001202602030620260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030620260829%2FA5,11-7
3連複,PASS_HTML,12840,48,2026-08-29,pw01sde1001202602030620260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030620260829%2FA5,1-7-11
3連単,PASS_HTML,43060,157,2026-08-29,pw01sde1001202602030620260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030620260829%2FA5,11-7-1
単勝,PASS_HTML,580,1,2026-08-29,pw01sde1001202602030720260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030720260829%2F5A,15
複勝,PASS_HTML,250,2,2026-08-29,pw01sde1001202602030720260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030720260829%2F5A,15
複勝,PASS_HTML,1000,11,2026-08-29,pw01sde1001202602030720260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030720260829%2F5A,16
複勝,PASS_HTML,3010,15,2026-08-29,pw01sde1001202602030720260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030720260829%2F5A,11
枠連,PASS_HTML,11530,26,2026-08-29,pw01sde1001202602030720260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030720260829%2F5A,8-8
ワイド,PASS_HTML,2750,38,2026-08-29,pw01sde1001202602030720260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030720260829%2F5A,15-16
ワイド,PASS_HTML,8270,73,2026-08-29,pw01sde1001202602030720260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030720260829%2F5A,11-15
ワイド,PASS_HTML,29240,111,2026-08-29,pw01sde1001202602030720260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030720260829%2F5A,11-16
馬連,PASS_HTML,8570,37,2026-08-29,pw01sde1001202602030720260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030720260829%2F5A,15-16
馬単,PASS_HTML,11990,63,2026-08-29,pw01sde1001202602030720260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030720260829%2F5A,15-16
3連複,PASS_HTML,176230,342,2026-08-29,pw01sde1001202602030720260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030720260829%2F5A,11-15-16
3連単,PASS_HTML,774290,1662,2026-08-29,pw01sde1001202602030720260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030720260829%2F5A,15-16-11
単勝,QUARANTINED_HTML:track_condition,720,5,2026-08-29,pw01sde1001202602030820260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030820260829%2F0F,9
複勝,QUARANTINED_HTML:track_condition,210,6,2026-08-29,pw01sde1001202602030820260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030820260829%2F0F,9
複勝,QUARANTINED_HTML:track_condition,120,1,2026-08-29,pw01sde1001202602030820260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030820260829%2F0F,5
複勝,QUARANTINED_HTML:track_condition,150,3,2026-08-29,pw01sde1001202602030820260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030820260829%2F0F,6
枠連,QUARANTINED_HTML:track_condition,520,1,2026-08-29,pw01sde1001202602030820260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030820260829%2F0F,5-7
ワイド,QUARANTINED_HTML:track_condition,420,7,2026-08-29,pw01sde1001202602030820260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030820260829%2F0F,5-9
ワイド,QUARANTINED_HTML:track_condition,700,14,2026-08-29,pw01sde1001202602030820260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030820260829%2F0F,6-9
ワイド,QUARANTINED_HTML:track_condition,310,2,2026-08-29,pw01sde1001202602030820260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030820260829%2F0F,5-6
馬連,QUARANTINED_HTML:track_condition,1140,6,2026-08-29,pw01sde1001202602030820260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030820260829%2F0F,5-9
馬単,QUARANTINED_HTML:track_condition,2610,15,2026-08-29,pw01sde1001202602030820260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030820260829%2F0F,9-5
3連複,QUARANTINED_HTML:track_condition,1960,10,2026-08-29,pw01sde1001202602030820260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030820260829%2F0F,5-6-9
3連単,QUARANTINED_HTML:track_condition,15190,74,2026-08-29,pw01sde1001202602030820260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030820260829%2F0F,9-5-6
単勝,PASS_HTML,220,1,2026-08-29,pw01sde1001202602030920260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030920260829%2FC4,3
複勝,PASS_HTML,120,1,2026-08-29,pw01sde1001202602030920260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030920260829%2FC4,3
複勝,PASS_HTML,520,9,2026-08-29,pw01sde1001202602030920260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030920260829%2FC4,2
複勝,PASS_HTML,260,4,2026-08-29,pw01sde1001202602030920260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030920260829%2FC4,5
枠連,PASS_HTML,5160,16,2026-08-29,pw01sde1001202602030920260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030920260829%2FC4,2-3
ワイド,PASS_HTML,1140,14,2026-08-29,pw01sde1001202602030920260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030920260829%2FC4,2-3
ワイド,PASS_HTML,470,3,2026-08-29,pw01sde1001202602030920260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030920260829%2FC4,3-5
ワイド,PASS_HTML,3440,34,2026-08-29,pw01sde1001202602030920260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030920260829%2FC4,2-5
馬連,PASS_HTML,4640,18,2026-08-29,pw01sde1001202602030920260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030920260829%2FC4,2-3
馬単,PASS_HTML,5770,22,2026-08-29,pw01sde1001202602030920260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030920260829%2FC4,3-2
3連複,PASS_HTML,10750,34,2026-08-29,pw01sde1001202602030920260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030920260829%2FC4,2-3-5
3連単,PASS_HTML,51410,166,2026-08-29,pw01sde1001202602030920260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030920260829%2FC4,3-2-5
単勝,PASS_HTML,460,2,2026-08-29,pw01sde1001202602031020260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031020260829%2FB9,3
複勝,PASS_HTML,190,3,2026-08-29,pw01sde1001202602031020260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031020260829%2FB9,3
複勝,PASS_HTML,120,1,2026-08-29,pw01sde1001202602031020260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031020260829%2FB9,12
複勝,PASS_HTML,1470,10,2026-08-29,pw01sde1001202602031020260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031020260829%2FB9,5
枠連,PASS_HTML,560,3,2026-08-29,pw01sde1001202602031020260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031020260829%2FB9,3-8
ワイド,PASS_HTML,310,1,2026-08-29,pw01sde1001202602031020260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031020260829%2FB9,3-12
ワイド,PASS_HTML,5680,43,2026-08-29,pw01sde1001202602031020260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031020260829%2FB9,3-5
ワイド,PASS_HTML,3240,35,2026-08-29,pw01sde1001202602031020260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031020260829%2FB9,5-12
馬連,PASS_HTML,680,1,2026-08-29,pw01sde1001202602031020260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031020260829%2FB9,3-12
馬単,PASS_HTML,1540,4,2026-08-29,pw01sde1001202602031020260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031020260829%2FB9,3-12
3連複,PASS_HTML,15330,47,2026-08-29,pw01sde1001202602031020260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031020260829%2FB9,3-5-12
3連単,PASS_HTML,63750,196,2026-08-29,pw01sde1001202602031020260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031020260829%2FB9,3-12-5
単勝,PASS_HTML,1170,5,2026-08-29,pw01sde1001202602031120260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031120260829%2F6E,8
複勝,PASS_HTML,330,4,2026-08-29,pw01sde1001202602031120260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031120260829%2F6E,8
複勝,PASS_HTML,210,2,2026-08-29,pw01sde1001202602031120260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031120260829%2F6E,12
複勝,PASS_HTML,480,8,2026-08-29,pw01sde1001202602031120260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031120260829%2F6E,5
枠連,PASS_HTML,970,4,2026-08-29,pw01sde1001202602031120260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031120260829%2F6E,5-7
ワイド,PASS_HTML,1130,10,2026-08-29,pw01sde1001202602031120260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031120260829%2F6E,8-12
ワイド,PASS_HTML,3250,40,2026-08-29,pw01sde1001202602031120260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031120260829%2F6E,5-8
ワイド,PASS_HTML,1830,19,2026-08-29,pw01sde1001202602031120260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031120260829%2F6E,5-12
馬連,PASS_HTML,3270,11,2026-08-29,pw01sde1001202602031120260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031120260829%2F6E,8-12
馬単,PASS_HTML,7670,29,2026-08-29,pw01sde1001202602031120260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031120260829%2F6E,8-12
3連複,PASS_HTML,25940,87,2026-08-29,pw01sde1001202602031120260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031120260829%2F6E,5-8-12
3連単,PASS_HTML,182080,542,2026-08-29,pw01sde1001202602031120260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031120260829%2F6E,8-12-5
単勝,QUARANTINED_HTML:track_condition,120,1,2026-08-29,pw01sde1001202602031220260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031220260829%2F23,10
複勝,QUARANTINED_HTML:track_condition,110,1,2026-08-29,pw01sde1001202602031220260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031220260829%2F23,10
複勝,QUARANTINED_HTML:track_condition,110,2,2026-08-29,pw01sde1001202602031220260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031220260829%2F23,11
複勝,QUARANTINED_HTML:track_condition,480,7,2026-08-29,pw01sde1001202602031220260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031220260829%2F23,7
枠連,QUARANTINED_HTML:track_condition,200,1,2026-08-29,pw01sde1001202602031220260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031220260829%2F23,7-8
ワイド,QUARANTINED_HTML:track_condition,140,1,2026-08-29,pw01sde1001202602031220260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031220260829%2F23,10-11
ワイド,QUARANTINED_HTML:track_condition,1060,11,2026-08-29,pw01sde1001202602031220260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031220260829%2F23,7-10
ワイド,QUARANTINED_HTML:track_condition,1390,16,2026-08-29,pw01sde1001202602031220260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031220260829%2F23,7-11
馬連,QUARANTINED_HTML:track_condition,220,1,2026-08-29,pw01sde1001202602031220260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031220260829%2F23,10-11
馬単,QUARANTINED_HTML:track_condition,280,1,2026-08-29,pw01sde1001202602031220260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031220260829%2F23,10-11
3連複,QUARANTINED_HTML:track_condition,1850,5,2026-08-29,pw01sde1001202602031220260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031220260829%2F23,7-10-11
3連単,QUARANTINED_HTML:track_condition,3780,8,2026-08-29,pw01sde1001202602031220260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031220260829%2F23,10-11-7
単勝,QUARANTINED_HTML:track_condition,520,3,2026-08-30,pw01sde1001202602040120260830,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602040120260830%2F44,1
複勝,QUARANTINED_HTML:track_condition,180,3,2026-08-30,pw01sde1001202602040120260830,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602040120260830%2F44,1
複勝,QUARANTINED_HTML:track_condition,280,5,2026-08-30,pw01sde1001202602040120260830,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602040120260830%2F44,4
複勝,QUARANTINED_HTML:track_condition,160,2,2026-08-30,pw01sde1001202602040120260830,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602040120260830%2F44,7
枠連,QUARANTINED_HTML:track_condition,2930,13,2026-08-30,pw01sde1001202602040120260830,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602040120260830%2F44,1-3
ワイド,QUARANTINED_HTML:track_condition,890,11,2026-08-30,pw01sde1001202602040120260830,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602040120260830%2F44,1-4
